Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-4327.599	-4612.703	285.1045	0.8160156	1.141948	12.57541
6	-4336.11	-4619.665	283.5554	0.9164358	1.007786	13.3949
12	-4323.684	-4607.422	283.7378	0.776666	1.267764	13.24989
18	-4317.356	-4601.231	283.8749	0.7644569	1.124801	13.24989
24	-4322.726	-4606.929	284.203	0.8108729	1.029275	13.10225
30	-4337.685	-4625.802	288.1172	0.7378072	0.8503109	11.19702
36	-4323.593	-4609.785	286.1918	0.8249516	0.87728	12.14159
42	-4326.086	-4611.437	285.3511	0.8453687	0.909038	12.55107
48	-4327.206	-4612.185	284.9791	0.836505	0.9137641	12.74668
54	-4335.29	-4622.202	286.912	0.836505	0.9236653	11.73357
60	-4322.253	-4603.803	281.55	0.7302816	1.012533	14.52898
66	-4319.701	-4605.653	285.9519	0.6968036	1.049148	12.2412
72	-4341.589	-4624.113	282.5236	1.003102	1.176126	13.80363
78	-4334.702	-4618.609	283.9072	0.8489048	1.088083	13.20695
84	-4335.861	-4622.147	286.2856	0.8750526	0.9421696	12.03019
90	-4322.478	-4606.758	284.2798	0.8651923	0.9188521	13.09268
96	-4324.184	-4609.692	285.5082	0.7793802	0.9188521	12.49813
102	-4322.164	-4607.461	285.2973	0.798541	1.112515	12.49813
108	-4311.962	-4597.687	285.7252	0.7546351	1.00278	12.35293
114	-4321.605	-4601.904	280.2989	0.73717	0.9647908	15.19764
120	-4333.608	-4613.808	280.2008	0.7943113	1.005334	15.19764
126	-4337.002	-4618.07	281.0676	0.8677714	0.8678887	14.78603
132	-4322.604	-4608.481	285.8773	0.8665155	1.128382	12.15282
138	-4322.164	-4605.078	282.913	0.6791613	0.822312	13.95449
144	-4335.908	-4620.219	284.3114	0.6563612	0.9906031	13.14617
150	-4312.243	-4597.861	285.6175	0.9103359	0.9616787	12.34962
156	-4308.587	-4595.093	286.5065	0.8842479	1.043398	11.85701
162	-4320.461	-4605.313	284.8526	0.8067975	0.9928531	12.78532
168	-4309.874	-4596.37	286.4955	0.7776353	0.9928531	11.94441
174	-4319.079	-4605.603	286.5233	0.8556165	0.9811195	11.89541
180	-4332.114	-4618.756	286.642	0.7918416	0.8423336	11.94441
186	-4323.262	-4610.35	287.0872	0.8468209	0.9554411	11.61925
192	-4316.162	-4601.248	285.0857	0.829078	0.9988422	12.64925
198	-4325.375	-4612.512	287.1365	0.8587691	0.9988422	11.56418
204	-4339.762	-4625.692	285.9304	0.751744	1.083831	12.20654
210	-4325.461	-4612.112	286.6517	0.7839506	1.005569	11.85296
216	-4332.728	-4619.68	286.9517	0.8746744	1.008552	11.64734
222	-4320.117	-4605.449	285.3324	0.9291793	0.9116956	12.51568
228	-4322.937	-4610.575	287.6376	0.8589875	1.00626	11.29814
